pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
57,-0.03,-2.035402e-06,-0.0298997272,0.03,2.050527e-06,0.0301369197,0.060036646900000004,4.085929e-06,14693.512026273584,1.6733871885517146
58,-0.03,-2.035385e-06,-0.0298995024,0.03,2.0488e-06,0.0301369819,0.0600364843,4.084185e-06,14699.746534498316,6.234508224732053
59,-0.03,-2.03487e-06,-0.0298987038,0.03,2.048274e-06,0.0301359967,0.060034700499999996,4.083144e-06,14703.057374415399,3.3108399170832854
60,-0.03,-2.035667e-06,-0.0298968865,0.03,2.048346e-06,0.0301361258,0.0600330123,4.084013e-06,14699.5154765668,3.5418978485995467
61,-0.03,-2.033467e-06,-0.0298984025,0.03,2.047273e-06,0.0301365371,0.060034939600000004,4.08074e-06,14711.777667775943,12.262191209143566
62,-0.03,-2.034496e-06,-0.0298976899,0.03,2.048627e-06,0.0301358771,0.060033566999999996,4.0831229999999995e-06,14702.85538789794,8.922279878002882
63,-0.03,-2.03477e-06,-0.0298987946,0.03,2.048221e-06,0.0301352985,0.060034093100000005,4.082991e-06,14703.459571671847,0.6041837739066978
64,-0.03,-2.03473e-06,-0.0298998802,0.03,2.049783e-06,0.0301360828,0.060035963,4.084513e-06,14698.438467450096,5.021104221750647
65,-0.03,-2.033612e-06,-0.0298978477,0.03,2.04994e-06,0.0301367093,0.060034557,4.083552e-06,14701.553206620121,3.114739170025132
66,-0.03,-2.034544e-06,-0.0298986464,0.03,2.049334e-06,0.0301352698,0.060033916199999995,4.083878e-06,14700.222729474288,1.3304771458333562
67,-0.03,-2.036432e-06,-0.0298989142,0.03,2.047072e-06,0.0301358723,0.060034786500000006,4.083504e-06,14701.782219388057,1.5594899137686298
68,-0.03,-2.036259e-06,-0.0298999185,0.03,2.047766e-06,0.0301342989,0.0600342174,4.084025e-06,14699.767361855033,2.014857533024042
69,-0.03,-2.033795e-06,-0.0299008702,0.03,2.048498e-06,0.0301371636,0.0600380338,4.082293e-06,14706.938918887008,7.171557031975681
70,-0.03,-2.034174e-06,-0.0299006837,0.03,2.047895e-06,0.0301343372,0.0600350209,4.082069e-06,14707.007867823892,0.06894893688331649
71,-0.03,-2.033427e-06,-0.029900985,0.03,2.048964e-06,0.0301346193,0.0600356043,4.0823910000000005e-06,14705.99075394787,1.01711387602154
72,-0.03,-2.033946e-06,-0.0299013771,0.03,2.048201e-06,0.0301349637,0.060036340800000004,4.082147e-06,14707.05018707068,1.0594331228094234
73,-0.03,-2.034306e-06,-0.0299009611,0.03,2.048426e-06,0.0301350259,0.060035987,4.082732e-06,14704.85620902866,2.1939780420198076
74,-0.03,-2.034839e-06,-0.0299020371,0.03,2.049424e-06,0.0301351119,0.060037149,4.084263e-06,14699.628549875462,5.227659153197237
75,-0.03,-2.035352e-06,-0.0298999424,0.03,2.050271e-06,0.0301344233,0.0600343657,4.085623e-06,14694.054174846775,5.574375028687427
76,-0.03,-2.0354e-06,-0.0299024101,0.03,2.048285e-06,0.0301337729,0.060036183,4.083685e-06,14701.47256705647,7.4183922096945025
77,-0.03,-2.035185e-06,-0.0299007267,0.03,2.046733e-06,0.0301350211,0.0600357478,4.081918e-06,14707.729993596147,6.257426539677908
78,-0.03,-2.035899e-06,-0.0299013054,0.03,2.048525e-06,0.0301361593,0.0600374647,4.084424e-06,14699.126412928726,8.603580667420829
79,-0.03,-2.03314e-06,-0.0299015828,0.03,2.04901e-06,0.0301336886,0.0600352714,4.0821499999999995e-06,14706.777408963415,7.650996034688433
80,-0.03,-2.034103e-06,-0.0298998102,0.03,2.049759e-06,0.0301355634,0.0600353736,4.083862e-06,14700.63719097266,6.140217990754536
81,-0.03,-2.034337e-06,-0.0299009006,0.03,2.050084e-06,0.0301353529,0.0600362535,4.084421e-06,14698.840667991863,1.7965229807978176
