nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.03,1,2,2026-05-27T21:43:10.117,16268.6062413,16268.7679482,0.16170690000035393,60391.059069665025,False,-0.03,-0.0298344364,-6.993311e-07,42661.389433417164,0.03,0.030113461,2.933307e-07,102660.44774720137
0.03,1,3,2026-05-27T21:43:10.276,16268.7680153,16268.9264241,0.15840879999996105,59760.492587804256,False,-0.03,-0.0298831228,-8.044946e-07,37145.21241037541,0.03,0.0301108122,1.994117e-07,150998.22227080958
0.03,1,4,2026-05-27T21:43:10.430,16268.926477,16269.0808264,0.1543493999997736,44258.59022086045,False,-0.03,-0.0298992403,-6.179942e-07,48381.101796748255,0.03,0.0301677571,7.391886e-07,40811.989118879814
0.03,1,5,2026-05-27T21:43:10.589,16269.0817336,16269.2393551,0.1576215000004595,29637.628517534704,False,-0.03,-0.0298804789,-7.091285e-07,42136.90311417465,0.03,0.0301635634,1.316811e-06,22906.524474658854
0.03,1,6,2026-05-27T21:43:10.750,16269.2394073,16269.4010939,0.1616866000003938,33061.58894480798,False,-0.03,-0.0298419605,-9.109385e-07,32759.577622419074,0.03,0.0301833247,9.046211e-07,33365.709356105006
0.03,1,7,2026-05-27T21:43:10.912,16269.4012711,16269.5630374,0.16176629999972647,42549.414676642955,False,-0.03,-0.0298452714,-3.319715e-07,89903.11336967179,0.03,0.030107173,1.077036e-06,27953.729494650135
0.03,1,8,2026-05-27T21:43:11.082,16269.563091,16269.7322006,0.16910959999950137,369817.8803366125,False,-0.03,-0.0299594905,-6.836918e-08,438201.6940966676,0.03,0.0301874011,9.427004e-08,320222.6401940638
0.03,1,9,2026-05-27T21:43:11.242,16269.7322567,16269.8926575,0.1604008000012982,28466.13792037905,False,-0.03,-0.0299374176,-1.136785e-06,26335.16240977845,0.03,0.0300887346,9.719012e-07,30958.635095830727
0.03,1,10,2026-05-27T21:43:11.394,16269.8927128,16270.0455295,0.15281669999967562,33852.005302449776,False,-0.03,-0.0299063648,-1.624647e-06,18407.915565658266,0.03,0.0301333927,1.489483e-07,202307.73160888712
0.03,1,11,2026-05-27T21:43:11.556,16270.0455891,16270.2062004,0.1606112999998004,100398.41070818967,False,-0.03,-0.0298134376,-4.791829e-07,62217.24022288775,0.03,0.0301530171,1.18102e-07,255313.34863084453
0.03,1,12,2026-05-27T21:43:11.714,16270.206257,16270.3646915,0.15843450000102166,41212.98392320668,False,-0.03,-0.0299136232,-7.245572e-07,41285.38533603696,0.03,0.0301788432,7.335383e-07,41141.468959425845
0.03,1,13,2026-05-27T21:43:11.874,16270.364748,16270.5248049,0.16005690000019968,50098.09488264881,False,-0.03,-0.0298606469,-4.385375e-07,68091.4332297694,0.03,0.0301949854,7.602233e-07,39718.57400319091
0.03,1,14,2026-05-27T21:43:12.034,16270.524856,16270.6842696,0.15941360000033455,29083.090325540525,False,-0.03,-0.0298130187,-1.424262e-06,20932.257337484254,0.03,0.0301305343,6.368516e-07,47311.703856911095
0.03,1,15,2026-05-27T21:43:12.218,16270.6843279,16270.8686984,0.18437049999920418,23689.6675133265,False,-0.03,-0.0298443274,-1.133996e-06,26317.841861876055,0.03,0.0301730899,1.399489e-06,21560.076499350835
0.03,1,16,2026-05-27T21:43:12.381,16270.8687509,16271.0315719,0.1628209999998944,37495.64817511401,False,-0.03,-0.029865516,-9.082376e-07,32882.932836077256,0.03,0.0301699999,6.928953e-07,43541.931804126834
0.03,1,17,2026-05-27T21:43:12.532,16271.0316263,16271.1825539,0.1509275999997044,33363.5252231207,False,-0.03,-0.0298000221,-1.112964e-06,26775.3692841817,0.03,0.0302166025,6.859054e-07,44053.60054024943
0.03,1,18,2026-05-27T21:43:12.686,16271.1826232,16271.3369022,0.15427900000031514,36659.069864439574,False,-0.03,-0.0298938199,-1.384795e-07,215871.80701836734,0.03,0.0301367084,1.499056e-06,20103.790919085077
0.03,1,19,2026-05-27T21:43:12.837,16271.3369578,16271.4882803,0.15132249999987835,35407.017399550525,False,-0.03,-0.0298622306,-8.900065e-07,33552.82304118004,0.03,0.0300561302,8.022671e-07,37463.99447266378
0.03,1,20,2026-05-27T21:43:12.992,16271.4883327,16271.6427913,0.15445859999999811,31874.48795882535,False,-0.03,-0.0298227238,-1.035928e-06,28788.413673537154,0.03,0.0301091005,8.443163e-07,35660.92529541358
0.03,1,21,2026-05-27T21:43:13.144,16271.642848,16271.7945006,0.15165260000139824,44094.8081129935,False,-0.03,-0.0299734656,-2.422323e-07,123738.51711765937,0.03,0.0301166151,1.120515e-06,26877.476071270798
0.03,1,22,2026-05-27T21:43:13.299,16271.7945559,16271.9495826,0.155026700000235,34474.43093256849,False,-0.03,-0.0298502993,-1.075085e-06,27765.524865475752,0.03,0.030132949,6.648494e-07,45322.96938223904
0.03,1,23,2026-05-27T21:43:13.450,16271.9496358,16272.1003627,0.15072689999942668,35929.56978529358,False,-0.03,-0.0298375422,-9.966094e-07,29939.05355498353,0.03,0.0301610344,6.732847e-07,44796.85102008111
0.03,1,24,2026-05-27T21:43:13.604,16272.1004137,16272.2547678,0.15435409999918193,32712.4104794114,False,-0.03,-0.0299401832,-8.311051e-07,36024.54515078779,0.03,0.0300965799,1.004185e-06,29971.15063459422
0.03,1,25,2026-05-27T21:43:13.764,16272.2548211,16272.4148103,0.15998920000129147,21587.028702514344,False,-0.03,-0.0299196951,-1.253195e-06,23874.732264332368,0.03,0.0301268487,1.528408e-06,19711.260802089495
0.03,1,26,2026-05-27T21:43:13.932,16272.4148644,16272.583086,0.16822160000083386,40765.67137981287,False,-0.03,-0.0298247852,-4.764151e-07,62602.51868591067,0.03,0.0301884713,9.957367e-07,30317.724856380206
0.03,1,27,2026-05-27T21:43:14.108,16272.5831426,16272.7582034,0.1750608000002103,99845.77518526585,False,-0.03,-0.0298495838,-3.403818e-07,87694.4178566539,0.03,0.0300648805,2.596883e-07,115772.94972472767
0.03,1,28,2026-05-27T21:43:14.269,16272.7582602,16272.9202593,0.16199910000068485,38377.743514068534,False,-0.03,-0.0299252828,-7.947434e-07,37654.01864299848,0.03,0.030073119,7.686211e-07,39126.064845214365
0.03,1,29,2026-05-27T21:43:14.428,16272.9203115,16273.0785918,0.15828030000011495,31469.32251632362,False,-0.03,-0.0298832005,-7.932592e-07,37671.420010004294,0.03,0.0301651509,1.114896e-06,27056.470648383347
0.03,1,30,2026-05-27T21:43:14.582,16273.0786501,16273.2327301,0.15408000000024913,30963.891558448227,False,-0.03,-0.0299319823,-8.563197e-07,34954.21429636618,0.03,0.0300632112,1.081266e-06,27803.71453462885
0.03,1,31,2026-05-27T21:43:14.742,16273.2327849,16273.3926424,0.15985750000072585,21373.87838365975,False,-0.03,-0.0298966661,-1.375151e-06,21740.64237309212,0.03,0.0300978655,1.431758e-06,21021.61503550181
0.1,1,0,2026-05-27T21:43:16.209,16274.7014292,16274.8592224,0.15779320000001462,52766.845175668816,False,-0.03,-0.0298786776,-3.162594e-07,94475.22381943431,0.03,0.0301552386,8.21461e-07,36709.27603379832
0.1,1,1,2026-05-27T21:43:16.366,16274.8592862,16275.0168857,0.15759950000028766,35982.13032715805,False,-0.03,-0.0298626392,-6.998887e-07,42667.69730672891,0.03,0.0301452561,9.678251e-07,31147.42126444127
0.1,1,2,2026-05-27T21:43:16.523,16275.0169557,16275.1735556,0.15659989999949175,32406.560092323725,False,-0.03,-0.0299140453,-7.659239e-07,39056.15858181211,0.03,0.0301283399,1.086861e-06,27720.50878631214
0.1,1,3,2026-05-27T21:43:16.688,16275.1736111,16275.3384725,0.1648614000005182,27600.02413353324,False,-0.03,-0.0298844418,-1.187397e-06,25168.028721649123,0.03,0.0301108043,9.863419e-07,30527.755436527637
0.1,1,4,2026-05-27T21:43:16.853,16275.3385242,16275.5036026,0.16507839999940188,28744.658429135034,False,-0.03,-0.0298426008,-1.006106e-06,29661.48775576331,0.03,0.0301135539,1.079713e-06,27890.331875229807
0.1,1,5,2026-05-27T21:43:17.037,16275.5036674,16275.6878361,0.18416869999964547,38202.932742076526,False,-0.03,-0.0298806816,-5.227942e-07,57155.725140026414,0.03,0.030118178,1.047736e-06,28745.960814556336
0.1,1,6,2026-05-27T21:43:17.195,16275.687893,16275.8459185,0.15802549999898474,46923.9033800264,False,-0.03,-0.0298005805,-9.808516e-07,30382.35396669588,0.03,0.0301211925,2.961473e-07,101710.17091832342
0.1,1,7,2026-05-27T21:43:17.358,16275.8459751,16276.0089401,0.16296500000134984,46183.02356063899,False,-0.03,-0.0298259982,-9.055742e-07,32936.00701080044,0.03,0.0301213121,3.924636e-07,76749.31407651563
0.1,1,8,2026-05-27T21:43:17.515,16276.0090012,16276.1665707,0.15756949999922654,41921.22367325391,False,-0.03,-0.0298558283,-9.829587e-07,30373.43105056194,0.03,0.0301134212,4.475637e-07,67282.98385235443
0.1,1,9,2026-05-27T21:43:17.680,16276.1666227,16276.3310874,0.16446469999937108,45004.66299591311,False,-0.03,-0.0298321498,-9.892824e-07,30155.3427009315,0.03,0.0301004474,3.424151e-07,87906.30845427087
0.1,1,10,2026-05-27T21:43:17.874,16276.3311636,16276.5251366,0.19397299999945972,53941.811122585146,False,-0.03,-0.0299086689,-6.931779e-07,43147.17607125098,0.03,0.0301048163,4.193818e-07,71783.79295429606
0.1,1,11,2026-05-27T21:43:18.030,16276.5251938,16276.680502,0.15530819999912637,37201.758130272974,False,-0.03,-0.0298472929,-8.958975e-07,33315.52203237535,0.03,0.0301146199,7.159057e-07,42065.06513357835
0.1,1,12,2026-05-27T21:43:18.188,16276.6805578,16276.8385902,0.15803240000059304,43079.547086687475,False,-0.03,-0.0298784369,-3.389788e-07,88142.49416187678,0.03,0.0301690151,1.054895e-06,28599.06919646031
0.1,1,13,2026-05-27T21:43:18.350,16276.8386488,16277.000764,0.16211520000069868,29775.555309359443,False,-0.03,-0.0298897812,-7.188167e-07,41581.92373660768,0.03,0.0301245388,1.29674e-06,23230.978299427796
0.1,1,14,2026-05-27T21:43:18.508,16277.0008161,16277.158746,0.15792989999863494,43748.31996082818,False,-0.03,-0.0298712494,-3.372977e-07,88560.4894430054,0.03,0.0301517387,1.034709e-06,29140.30775802665
0.1,1,15,2026-05-27T21:43:18.664,16277.1589248,16277.3149525,0.15602770000077726,26708.991352416273,False,-0.03,-0.0299045841,-1.136929e-06,26302.947765427743,0.03,0.0301533874,1.111676e-06,27124.258686883586
0.1,1,16,2026-05-27T21:43:18.833,16277.3150054,16277.4835846,0.16857920000074955,39047.43389780445,False,-0.03,-0.0298540708,-8.412183e-07,35489.0886230126,0.03,0.0301098083,6.944493e-07,43357.820794117004
0.1,1,17,2026-05-27T21:43:19.008,16277.4836391,16277.65829,0.1746508999985963,37634.89322248352,False,-0.03,-0.029868305,-6.187014e-07,48275.79992545678,0.03,0.030125817,9.754076e-07,30885.3621808975
0.1,1,18,2026-05-27T21:43:19.165,16277.6583538,16277.8164221,0.15806830000110494,30450.006433205952,False,-0.03,-0.0298979532,-7.284827e-07,41041.4045522289,0.03,0.0301433908,1.243318e-06,24244.313039785477
