nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.1,1,0,2026-05-27T21:38:22.808,15981.295662,15981.4590243,0.16336229999978968,26596.166338787963,False,-0.03,-0.0299055842,-8.631038e-07,34648.88487340689,0.03,0.0301553095,1.39515e-06,21614.385191556463
0.1,1,1,2026-05-27T21:38:22.975,15981.4590823,15981.6254932,0.1664108999993914,32650.64538681229,False,-0.03,-0.0299151143,-7.087165e-07,42210.26926845925,0.03,0.0301678034,1.131459e-06,26662.74553474761
0.1,1,2,2026-05-27T21:38:23.146,15981.625548,15981.7969255,0.17137750000074448,31308.734231825078,False,-0.03,-0.0298626881,-9.720128e-07,30722.525567564542,0.03,0.0300815154,9.426032e-07,31913.23284283355
0.1,1,3,2026-05-27T21:38:23.313,15981.7969793,15981.9639037,0.16692440000042552,27479.687730460635,False,-0.03,-0.0299110893,-8.075697e-07,37038.39965763946,0.03,0.0300992094,1.376236e-06,21870.67436108342
0.1,1,4,2026-05-27T21:38:23.467,15981.9639595,15982.1179759,0.15401639999981853,54568.6898622179,False,-0.03,-0.0298596215,-4.075443e-07,73267.17978879841,0.03,0.0301372997,6.919309e-07,43555.360369077316
0.1,1,5,2026-05-27T21:38:23.628,15982.1180351,15982.2786779,0.16064279999955033,30796.028237186878,False,-0.03,-0.0299427238,-8.100902e-07,36962.20964035857,0.03,0.0301469238,1.141124e-06,26418.622165514
0.1,1,6,2026-05-27T21:38:23.790,15982.2787343,15982.4407893,0.1620550000006915,27232.315121356525,False,-0.03,-0.0299443378,-1.004828e-06,29800.46117345456,0.03,0.030144174,1.201687e-06,25084.879839758607
0.1,1,7,2026-05-27T21:38:23.984,15982.4408483,15982.6344241,0.19357579999996233,37296.576858796296,False,-0.03,-0.029831747,-6.275306e-07,47538.3144662587,0.03,0.0301401565,9.804428e-07,30741.371653705857
0.1,1,8,2026-05-27T21:38:24.145,15982.634482,15982.7958039,0.1613219000009849,27086.850144782315,False,-0.03,-0.0298566754,-1.246708e-06,23948.410854827274,0.03,0.0301055579,9.669947e-07,31133.11572441917
0.1,1,9,2026-05-27T21:38:24.306,15982.7958625,15982.9568007,0.16093820000060077,25763.334120252734,False,-0.03,-0.0299058276,-1.018729e-06,29356.01872529397,0.03,0.0301165577,1.311031e-06,22971.659480210612
0.1,1,10,2026-05-27T21:38:24.468,15982.9568531,15983.1185711,0.1617179999993823,26759.5504566874,False,-0.03,-0.0299031375,-9.240858e-07,32359.698092969287,0.03,0.0301103404,1.318608e-06,22834.944426243434
0.1,1,11,2026-05-27T21:38:24.662,15983.1186279,15983.3134076,0.1947797000011633,35919.390444751305,False,-0.03,-0.0298365031,-3.02803e-07,98534.37086158327,0.03,0.0300960056,1.365725e-06,22036.65130242179
0.1,1,12,2026-05-27T21:38:24.825,15983.3134805,15983.4759223,0.1624417999992147,25586.62093421515,False,-0.03,-0.029880859,-1.443161e-06,20705.145856907166,0.03,0.0301295028,9.022195e-07,33394.86987368373
0.1,1,13,2026-05-27T21:38:24.986,15983.4759798,15983.6365273,0.1605474999996659,24824.558015915478,False,-0.03,-0.0299018639,-1.125986e-06,26556.159579248764,0.03,0.0301369751,1.29254e-06,23316.08700697851
0.1,1,14,2026-05-27T21:38:25.148,15983.6365956,15983.7985077,0.16191209999851708,27611.93069475459,False,-0.03,-0.0298854846,-1.061232e-06,28161.12273282374,0.03,0.0301358393,1.112514e-06,27088.053993028407
0.1,1,15,2026-05-27T21:38:25.324,15983.79856,15983.9748823,0.17632230000162963,26195.072095235097,False,-0.03,-0.0298410423,-9.265996e-07,32204.894433366902,0.03,0.0301292904,1.362775e-06,22108.778338317035
0.1,1,16,2026-05-27T21:38:25.493,15983.9749362,15984.1445309,0.16959469999892463,21959.781974784746,False,-0.03,-0.0298568234,-1.333783e-06,22385.068185754353,0.03,0.0300884624,1.395993e-06,21553.4479041084
0.1,1,17,2026-05-27T21:38:25.655,15984.1447007,15984.305464,0.16076329999850714,52708.09669873651,False,-0.03,-0.0298838122,-4.525447e-07,66035.05068118132,0.03,0.0301076158,6.856377e-07,43911.84411242264
0.1,1,18,2026-05-27T21:38:25.816,15984.3055186,15984.4664307,0.16091210000013234,54337.474645122245,False,-0.03,-0.0298668956,-4.239434e-07,70450.19594596825,0.03,0.0301499971,6.805778e-07,44300.58855872172
0.1,1,19,2026-05-27T21:38:25.975,15984.4664868,15984.6267538,0.16026699999929406,52140.7171051631,False,-0.03,-0.0298659381,-6.28374e-07,47528.92083377097,0.03,0.0301379902,5.224335e-07,57687.706090823034
0.1,1,20,2026-05-27T21:38:26.144,15984.6268154,15984.7952614,0.16844599999967613,38702.27340535448,False,-0.03,-0.0298399945,-1.070048e-06,27886.594339693176,0.03,0.0301158723,4.791082e-07,62858.185896213006
