pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
97,-0.03,-8.308565e-07,-0.0299010461,0.03,8.700966e-07,0.0301350728,0.0600361189,1.7009531e-06,35295.5756981189,0.6355473019211786
98,-0.03,-8.318952e-07,-0.0299001614,0.03,8.656885e-07,0.0301355128,0.0600356742,1.6975837e-06,35365.369142034055,69.7934439151577
99,-0.03,-8.221796e-07,-0.0299012852,0.03,8.558835e-07,0.0301365506,0.060037835799999995,1.6780631e-06,35778.05614103546,412.686999001402
100,-0.03,-8.225433e-07,-0.0299005679,0.03,8.639831e-07,0.0301342598,0.0600348277,1.6865264e-06,35596.73166100454,181.3244800309185
101,-0.03,-8.278996e-07,-0.0299004387,0.03,8.634375e-07,0.0301344033,0.060034842000000005,1.6913371000000001e-06,35495.49170298458,101.23995801995625
102,-0.03,-8.293068e-07,-0.0299006348,0.03,8.494233e-07,0.0301347476,0.060035382400000004,1.6787301e-06,35762.379193653585,266.88749066900345
103,-0.03,-8.422132e-07,-0.0298992336,0.03,8.513425e-07,0.0301351015,0.0600343351,1.6935557e-06,35448.69241678913,313.6867768644588
104,-0.03,-8.24123e-07,-0.0299000322,0.03,8.990564e-07,0.0301357328,0.060035765,1.7231794e-06,34840.11299113719,608.5794256519366
105,-0.03,-8.301007e-07,-0.0298997309,0.03,8.693847e-07,0.0301350632,0.0600347941,1.6994854e-06,35325.2779341323,485.1649429951067
106,-0.03,-8.240571e-07,-0.0299014287,0.03,8.643293e-07,0.0301330259,0.060034454599999995,1.6883864e-06,35557.29577068377,232.017836551473
107,-0.03,-8.269165e-07,-0.0298999955,0.03,8.661596e-07,0.03013373,0.060033725499999996,1.6930761e-06,35458.373962044585,98.92180863918475
108,-0.03,-8.214006e-07,-0.0298986516,0.03,8.610338e-07,0.0301364273,0.0600350789,1.6824344e-06,35683.4589806295,225.08501858491218
109,-0.03,-8.182112e-07,-0.0298994933,0.03,8.549664e-07,0.030133773,0.0600332663,1.6731776e-06,35879.79321501794,196.3342343884433
110,-0.03,-8.23613e-07,-0.0298994981,0.03,8.520958e-07,0.0301358438,0.0600353419,1.6757088e-06,35826.83453115481,52.95868386312941
