index,differential_resistance_ohm,negative_voltage_v,positive_voltage_v,negative_current_a,positive_current_a,compliance_hit
209,16758.124205310723,-0.0298996701,0.0301342151,-1.819963e-06,1.762412e-06,0
210,16753.339169420764,-0.0299028169,0.0301319531,-1.824368e-06,1.759083e-06,0
211,16778.112209280553,-0.0299014826,0.0301352672,-1.819678e-06,1.7586e-06,0
212,16783.92758744953,-0.0299017983,0.0301334547,-1.822249e-06,1.7547e-06,0
213,16761.09803439838,-0.0299013038,0.030134519,-1.822561e-06,1.759294e-06,0
214,16805.118966873913,-0.0298996635,0.0301346242,-1.818056e-06,1.754325e-06,0
215,16786.267135917755,-0.0298997926,0.0301359393,-1.820665e-06,1.755814e-06,0
216,16780.04534862172,-0.0299007777,0.0301317978,-1.821114e-06,1.756503e-06,0
217,16774.815728626014,-0.0299005817,0.0301335482,-1.819529e-06,1.759296e-06,0
218,16773.786712123198,-0.0299015668,0.0301334429,-1.817696e-06,1.761401e-06,0
219,16776.873487950696,-0.02989941,0.0301339307,-1.822941e-06,1.755398e-06,0
220,16803.892651940336,-0.0299002565,0.0301333808,-1.817148e-06,1.755455e-06,0
221,16790.177733114768,-0.0298994961,0.0301323908,-1.818804e-06,1.756613e-06,0
222,16780.27697028085,-0.0299028437,0.0301357959,-1.82075e-06,1.757179e-06,0
223,16775.061221706965,-0.029900706,0.030133816,-1.822019e-06,1.756777e-06,0
224,16785.940046542175,-0.0299020403,0.0301335625,-1.818848e-06,1.757693e-06,0
225,16754.684631105618,-0.0299014042,0.0301331943,-1.82262e-06,1.760533e-06,0
226,16758.274433967345,-0.0299021981,0.0301347055,-1.823445e-06,1.759078e-06,0
227,16731.99907472179,-0.0299017151,0.0301345381,-1.822203e-06,1.765907e-06,0
228,16757.18513233787,-0.0299025902,0.0301325056,-1.822772e-06,1.759876e-06,0
229,16746.9410673879,-0.0299024037,0.0301349781,-1.824834e-06,1.760142e-06,0
230,16763.04404095527,-0.0298995056,0.0301351742,-1.822963e-06,1.758408e-06,0
231,16740.529023752588,-0.0299027433,0.0301338829,-1.82102e-06,1.765284e-06,0
232,16757.606407358424,-0.0299011938,0.0301330317,-1.821548e-06,1.760958e-06,0
233,16769.196647907065,-0.0299032598,0.0301340025,-1.821154e-06,1.759057e-06,0
234,16733.651939271618,-0.0299021885,0.0301333521,-1.823892e-06,1.763821e-06,0
235,16755.291270874586,-0.029901959,0.0301323334,-1.824174e-06,1.758831e-06,0
236,16728.83996519135,-0.0299022794,0.0301335625,-1.825218e-06,1.763545e-06,0
237,16684.293202884084,-0.0299002517,0.030133706,-1.830596e-06,1.767636e-06,0
238,16755.062222679917,-0.0299024181,0.030133969,-1.822447e-06,1.760732e-06,0
239,16743.046799766744,-0.0299022985,0.0301336295,-1.824217e-06,1.761506e-06,0
240,16736.886769912406,-0.0299001321,0.03013252,-1.821786e-06,1.765061e-06,0
241,16733.788403324805,-0.0299008351,0.0301329695,-1.823108e-06,1.764472e-06,0
242,16675.43230029,-0.0299022698,0.0301348394,-1.827583e-06,1.77275e-06,0
243,16727.904207867825,-0.0299019016,0.0301328069,-1.828141e-06,1.760755e-06,0
244,16768.405915303734,-0.0299011699,0.0301331608,-1.822794e-06,1.757411e-06,0
245,16762.47477755246,-0.0299012608,0.0301357385,-1.822264e-06,1.759367e-06,0
246,16756.077841428443,-0.0299003091,0.0301354611,-1.822336e-06,1.760589e-06,0
247,16732.115497116363,-0.0299009116,0.030133969,-1.824496e-06,1.763507e-06,0
248,16687.06725203496,-0.0299010934,0.0301345525,-1.826324e-06,1.771411e-06,0
249,16643.65668724651,-0.029900003,0.0301351646,-1.834516e-06,1.772574e-06,0
250,16650.76066824314,-0.0299025042,0.0301320465,-1.832339e-06,1.773175e-06,0
