round,nplc,pair,t_s,pair_elapsed_s,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0,1.0,48,8.204558700000234,0.15790930000002845,-0.03,-2.00923e-06,-0.029898588,0.03,2.061458e-06,0.0301395571,0.060038145099999995,4.070688e-06,14748.893823353692
0,1.0,49,8.377740500000073,0.1731779000001552,-0.03,-2.009296e-06,-0.0298979711,0.03,2.062975e-06,0.0301371898,0.060035160899999995,4.072271e-06,14742.427726445514
0,1.0,50,8.542390399999931,0.16464610000002722,-0.03,-2.010455e-06,-0.0298987649,0.03,2.062514e-06,0.0301365394,0.060035304299999995,4.072969e-06,14739.936468949309
0,1.0,51,8.704703600000357,0.16230960000029881,-0.03,-2.010238e-06,-0.0298980284,0.03,2.062554e-06,0.0301368359,0.0600348643,4.072792e-06,14740.469019778078
0,1.0,52,8.871558300000288,0.1668507000003956,-0.03,-2.011034e-06,-0.0298976937,0.03,2.062607e-06,0.0301362668,0.0600339605,4.073641e-06,14737.175048071245
0,1.0,53,9.04860009999993,0.17703749999964202,-0.03,-2.010778e-06,-0.029899291,0.03,2.064013e-06,0.0301371803,0.060036471300000005,4.074791000000001e-06,14733.632056220797
0,1.0,54,9.213463400000364,0.16486020000047574,-0.03,-2.010701e-06,-0.0298987888,0.03,2.062629e-06,0.0301358747,0.0600346635,4.07333e-06,14738.472821990854
0,1.0,55,9.381358399999954,0.16788569999971514,-0.03,-2.009354e-06,-0.0298976267,0.03,2.06268e-06,0.030135779,0.0600334057,4.072034000000001e-06,14742.85472567272
0,1.0,56,9.552051599999686,0.17068969999945693,-0.03,-2.008984e-06,-0.0298984254,0.03,2.064488e-06,0.0301370511,0.060035476500000004,4.073472e-06,14738.158627333145
0,1.0,57,9.716491700000006,0.16443710000021383,-0.03,-2.010293e-06,-0.0298985736,0.03,2.064177e-06,0.0301357168,0.060034290399999996,4.07447e-06,14734.257559878952
0,1.0,58,9.884217599999829,0.1677224999993996,-0.03,-2.009785e-06,-0.0298993292,0.03,2.063716e-06,0.0301379024,0.060037231600000004,4.073501e-06,14738.484561560192
0,1.0,59,10.051832000000104,0.16761099999985163,-0.03,-2.008799e-06,-0.0298987318,0.03,2.062396e-06,0.0301354253,0.0600341571,4.071195e-06,14746.077527605532
0,1.0,60,10.219453499999872,0.16761829999995825,-0.03,-2.009156e-06,-0.0298992435,0.03,2.064896e-06,0.0301371996,0.0600364431,4.074051999999999e-06,14736.297695758429
0,1.0,61,10.384713000000374,0.16525260000071285,-0.03,-2.010247e-06,-0.0298987366,0.03,2.063578e-06,0.0301353584,0.060034094999999996,4.073825e-06,14736.542438617269
0,1.0,62,10.55135539999992,0.16663880000032805,-0.03,-2.009995e-06,-0.0298981483,0.03,2.063331e-06,0.0301355066,0.0600336549,4.073326e-06,14738.239684228563
0,1.0,63,10.721389499999532,0.17002959999990708,-0.03,-2.009635e-06,-0.0298983444,0.03,2.063963e-06,0.0301363388,0.060034683199999994,4.073598000000001e-06,14737.508021164578
0,1.0,64,10.891351199999917,0.16995760000008886,-0.03,-2.010388e-06,-0.0298975744,0.03,2.062982e-06,0.0301362383,0.0600338127,4.07337e-06,14738.119223149382
0,1.0,65,11.058890999999676,0.16753089999929216,-0.03,-2.008713e-06,-0.0298993343,0.03,2.06276e-06,0.0301360757,0.06003541,4.071473e-06,14745.37839253754
0,1.0,66,11.221159400000033,0.16226459999961662,-0.03,-2.008755e-06,-0.0298986887,0.03,2.063048e-06,0.0301357505,0.0600344392,4.0718030000000004e-06,14743.94493053814
0,1.0,67,11.388085599999613,0.16692289999991772,-0.03,-2.009638e-06,-0.0298978231,0.03,2.06242e-06,0.0301352579,0.060033081,4.072058e-06,14742.688095307092
0,1.0,68,11.556135699999686,0.16804659999979776,-0.03,-2.009315e-06,-0.029898177,0.03,2.062872e-06,0.0301338711,0.0600320481,4.072187e-06,14741.967424383998
0,1.0,69,11.724146100000326,0.16800700000021607,-0.03,-2.010976e-06,-0.0298970866,0.03,2.062761e-06,0.030134818,0.060031904600000005,4.073737e-06,14736.323086149156
0,1.0,70,11.893925499999568,0.16977569999926345,-0.03,-2.008742e-06,-0.0298964602,0.03,2.063013e-06,0.0301337419,0.0600302021,4.071755e-06,14743.078132156772
0,1.0,71,12.056231399999888,0.16230209999957879,-0.03,-2.010269e-06,-0.0298973066,0.03,2.0637e-06,0.0301355066,0.0600328132,4.073969e-06,14735.706923641295
0,1.0,72,12.22098079999978,0.1647434999995312,-0.03,-2.009875e-06,-0.0298989518,0.03,2.063099e-06,0.0301355545,0.0600345063,4.072974e-06,14739.722448510594
0,1.0,73,12.387218300000313,0.16623400000025867,-0.03,-2.010275e-06,-0.0298970579,0.03,2.063165e-06,0.0301355401,0.060032598,4.07344e-06,14737.567755999842
0,1.0,74,12.557963999999629,0.17074179999963235,-0.03,-2.00894e-06,-0.029898244,0.03,2.063205e-06,0.030136224,0.060034468,4.072145e-06,14742.71372949637
0,1.0,75,12.725785999999971,0.1678156999996645,-0.03,-2.009833e-06,-0.0298970197,0.03,2.063235e-06,0.030134531,0.0600315507,4.073068e-06,14738.656634261937
0,1.0,76,12.887879199999588,0.16208889999961684,-0.03,-2.010426e-06,-0.0298982105,0.03,2.062702e-06,0.030135191,0.0600334015,4.073128e-06,14738.89391642001
0,1.0,77,13.06104250000044,0.17315750000034313,-0.03,-2.009695e-06,-0.029896158,0.03,2.063947e-06,0.0301371696,0.0600333276,4.073642e-06,14737.016065722024
0,1.0,78,13.225368000000344,0.16432140000051731,-0.03,-2.009451e-06,-0.0298962201,0.03,2.063172e-06,0.0301343002,0.0600305203,4.072623e-06,14740.014064645806
0,1.0,79,13.38774259999991,0.16236920000028476,-0.03,-2.010135e-06,-0.0298975783,0.03,2.062289e-06,0.0301357971,0.060033375400000005,4.072424e-06,14741.435420280404
