nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.1,2,36,2026-05-27T21:49:50.018,16668.511207,16668.6688395,0.15763249999872642,48774.74721040083,False,-0.03,-0.0298802265,-4.49612e-07,66457.80472941113,0.03,0.030188211,7.819359e-07,38607.01497398956
0.1,2,37,2026-05-27T21:49:50.189,16668.6688899,16668.8400206,0.17113070000050357,31654.289430925895,False,-0.03,-0.0298839883,-1.45576e-06,20528.100991921747,0.03,0.0300847908,4.387314e-07,68572.2307543978
0.1,2,38,2026-05-27T21:49:50.366,16668.8400775,16669.0172322,0.17715469999893685,27725.547900605903,False,-0.03,-0.0298777114,-1.321166e-06,22614.653571163653,0.03,0.0301928932,8.454496e-07,35712.23311241734
0.1,2,39,2026-05-27T21:49:50.523,16669.0172877,16669.173501,0.15621330000067246,39298.74599305352,False,-0.03,-0.0298851446,-1.066685e-06,28016.84152303632,0.03,0.0301021472,4.597579e-07,65473.90963809431
0.1,2,40,2026-05-27T21:49:50.680,16669.1735631,16669.3315032,0.15794009999808623,39946.86756700908,False,-0.03,-0.0298529233,-8.008316e-07,37277.404263268334,0.03,0.0301138043,7.003306e-07,42999.41242036261
0.1,2,41,2026-05-27T21:49:50.845,16669.3315562,16669.4960348,0.16447859999971115,49288.95343344449,False,-0.03,-0.0298774443,-5.080743e-07,58805.265883356034,0.03,0.0301193864,7.091727e-07,42471.15885876599
0.1,2,42,2026-05-27T21:49:51.004,16669.4961276,16669.6546425,0.1585149000020465,47194.86251017771,False,-0.03,-0.0298138359,-9.577485e-07,31129.08649817776,0.03,0.0301378593,3.125528e-07,96424.8578160234
0.1,2,43,2026-05-27T21:49:51.167,16669.6546967,16669.8174671,0.1627704000020458,50167.24294696244,False,-0.03,-0.0298356578,-7.183908e-07,41531.23592339991,0.03,0.0301340788,4.770055e-07,63173.44097709565
0.1,2,44,2026-05-27T21:49:51.344,16669.8175221,16669.9945153,0.17699320000247099,26148.127757573537,False,-0.03,-0.0298929861,-1.292981e-06,23119.43184006571,0.03,0.0301358722,1.002742e-06,30053.465597332113
0.1,2,45,2026-05-27T21:49:51.509,16669.9945693,16670.1601964,0.16562709999925573,47902.23570945039,False,-0.03,-0.0298236868,-9.350192e-07,31896.336246357292,0.03,0.0301190968,3.163375e-07,95211.90753546449
0.1,2,46,2026-05-27T21:49:51.666,16670.1602463,16670.3173393,0.15709299999798532,28837.68616219874,False,-0.03,-0.0298917106,-1.287101e-06,23224.059805718432,0.03,0.0300657176,7.920335e-07,37960.159008425784
0.1,2,47,2026-05-27T21:49:51.822,16670.3173909,16670.4736899,0.15629900000203634,42297.56317427207,False,-0.03,-0.0298750763,-1.020821e-06,29265.734443158988,0.03,0.0300813642,3.966706e-07,75834.61995923065
0.1,2,48,2026-05-27T21:49:51.990,16670.4737398,16670.6405689,0.16682909999872209,49022.61793917774,False,-0.03,-0.0298102797,-8.883404e-07,33557.27117667957,0.03,0.0301325921,3.344191e-07,90104.27962996133
0.1,2,49,2026-05-27T21:49:52.154,16670.6406281,16670.8049004,0.16427229999681003,51228.8129759046,False,-0.03,-0.0298727953,-4.045954e-07,73833.74922206234,0.03,0.0301790588,7.676327e-07,39314.45182051259
0.1,2,50,2026-05-27T21:49:52.330,16670.804955,16670.9801627,0.17520770000191987,50518.848629140135,False,-0.03,-0.0299217564,-7.537233e-07,39698.59549253685,0.03,0.0301284834,4.349467e-07,69269.36886749572
