nplc,pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0.3,44,3.555086399999709,-0.03,-2.029197e-06,-0.0298463319,0.03,1.736089e-06,0.030098779,0.0599451109,3.7652860000000002e-06,15920.466838375623
0.3,45,3.555086399999709,-0.03,-2.014335e-06,-0.0298895624,0.03,2.322992e-06,0.030155862,0.0600454244,4.337327e-06,13843.877669357187
0.3,46,3.555086399999709,-0.03,-2.143313e-06,-0.029868792,0.03,1.759581e-06,0.0300901552,0.0599589472,3.902894e-06,15362.689122481934
0.3,47,3.555086399999709,-0.03,-1.633315e-06,-0.0298975645,0.03,2.352346e-06,0.0301300065,0.060027571,3.985661e-06,15060.882247637219
0.3,48,3.555086399999709,-0.03,-2.216536e-06,-0.0298623361,0.03,1.639258e-06,0.0301046292,0.0599669653,3.855794e-06,15552.429745987469
0.3,49,3.555086399999709,-0.03,-1.663986e-06,-0.0298898493,0.03,1.961237e-06,0.0301892095,0.0600790588,3.625223e-06,16572.513966727012
0.3,50,3.555086399999709,-0.03,-2.229645e-06,-0.0298893711,0.03,1.943183e-06,0.0301211914,0.0600105625,4.172828e-06,14381.269129712513
0.3,51,3.555086399999709,-0.03,-1.621729e-06,-0.0299000512,0.03,1.947865e-06,0.0301843636,0.0600844148,3.569594e-06,16832.282550900745
0.3,52,3.555086399999709,-0.03,-2.215376e-06,-0.0299356142,0.03,2.105911e-06,0.0301350596,0.0600706738,4.321287e-06,13901.107193296813
0.3,53,3.555086399999709,-0.03,-1.837155e-06,-0.0298699875,0.03,1.683258e-06,0.0301431574,0.060013144899999996,3.520413e-06,17047.18875313777
0.3,54,3.555086399999709,-0.03,-2.029262e-06,-0.0299443177,0.03,2.338195e-06,0.0301562127,0.060100530400000005,4.367457e-06,13760.989610201086
0.3,55,3.555086399999709,-0.03,-1.839305e-06,-0.029894201,0.03,1.623752e-06,0.0301472382,0.0600414392,3.463057e-06,17337.69880195446
0.3,56,3.555086399999709,-0.03,-1.92719e-06,-0.0299476333,0.03,2.340681e-06,0.0301642467,0.06011188,4.267871e-06,14084.746235300927
0.3,57,3.555086399999709,-0.03,-2.28086e-06,-0.0298946633,0.03,1.61951e-06,0.0301444327,0.060039096,3.9003699999999996e-06,15393.179621420533
0.3,58,3.555086399999709,-0.03,-1.71993e-06,-0.0299074156,0.03,2.271357e-06,0.0301773976,0.060084813200000003,3.991287e-06,15053.99466387659
0.3,59,3.555086399999709,-0.03,-2.292568e-06,-0.0299008641,0.03,2.021048e-06,0.0300800649,0.059980929,4.313615999999999e-06,13905.02283930698
1.0,0,7.936644899999919,-0.03,-1.982352e-06,-0.0298919935,0.03,1.990507e-06,0.0301425606,0.0600345541,3.972859e-06,15111.171602113238
1.0,1,7.936644899999919,-0.03,-1.981332e-06,-0.0298927683,0.03,1.989332e-06,0.0301416328,0.060034401099999996,3.970664000000001e-06,15119.486589648479
1.0,2,7.936644899999919,-0.03,-1.982326e-06,-0.0298922661,0.03,1.988694e-06,0.0301394473,0.0600317134,3.9710199999999995e-06,15117.454306450234
1.0,3,7.936644899999919,-0.03,-1.981424e-06,-0.0298931269,0.03,1.989504e-06,0.0301403512,0.060033478099999996,3.9709279999999995e-06,15118.24895842987
